SSN,payment_history,credit_utilization,len_credit_history,mix_credit,new_credit,credit_score
894603491,0.74,0.13,0.78,0.81,0.43,557
30944652,0.76,0.05,0.82,0.37,0.8,448
810549811,0.9,0.15,0.74,0.37,0.29,626
557022312,0.53,0.12,0.97,0.8,0.63,416
154989281,0.67,0.12,0.74,0.37,0.83,321
76386758,0.6,0.2,0.42,0.68,0.18,437
22700312,0.67,0.19,0.52,0.37,0.25,426
554308085,1,0.16,0.43,0.95,0.41,572
88890523,0.72,0.16,0.67,0.37,0.77,312
659557054,0.99,0.01,0.71,0.37,0.69,681
935263007,0.75,0.15,0.54,0.96,0.22,656
815410648,0.55,0.24,0.45,0.83,0.39,309
223782647,0.69,0.03,0.58,0.37,0.45,677
897376994,0.69,0.02,0.82,0.37,0.71,521
599451556,0.32,0.01,0.43,0.88,0.62,407
808528238,0.75,0.19,0.78,0.37,0.28,490
173049093,0.55,0.1,0.55,0.67,0.6,380
82804316,0.66,0.26,0.83,0.37,0.42,327
27390526,0.55,0.1,0.47,0.37,0.66,313
798753509,0.97,0.26,0.67,0.8,0.87,315
302223737,0.22,0.13,0.57,0.37,0.01,499
321561881,0.53,0.19,0.49,1,0.23,450
735490146,0.22,0.05,0.5,0.37,0.14,652
737917668,0.2,0.11,0.82,0.24,0.27,362
753829674,0.67,0.14,0.75,0.37,0.09,753
472965782,0.55,0.25,0.25,0.25,0.02,331
926630422,0.21,0.16,0.82,0.37,0.23,329
118224708,0.9,0.17,0.43,0.93,0.85,347
860540988,0.55,0.16,0.4,0.91,0.04,661
295379921,0.55,0.11,0.41,0.37,0.06,746
20531351,0.55,0.07,0,0.97,0.41,467
217169836,0.97,0.06,0.08,0.37,0.76,413
227464053,0.32,0,0.69,0.93,0.5,617
664950633,0.55,0.23,0.06,0.71,0.2,306
712008282,0.9,0.14,0.82,0.37,0.47,534
154386492,0.93,0.23,0.06,0.37,0.5,312
241296976,0.55,0.08,0.57,0.77,0.49,486
635898559,0.55,0.07,0.53,0.13,0.73,303
262242593,0.55,0.08,0.81,0.77,0.36,652
506878877,0.97,0.2,0.97,0.92,0.64,465
646789005,0.55,0.1,0.79,0.28,0.35,522
506009273,0.55,0.24,0.66,0.37,0.24,342
548315288,0.68,0.04,0.4,0.37,0.68,419
479827371,0.71,0.21,0.52,0.8,0.49,363
851703886,0.88,0.01,0.96,0.37,0.59,789
859113543,0.73,0.13,0.73,0.97,0.81,385
631471823,0.75,0.11,0.83,0.37,0.76,389
342352811,0.55,0.02,0.68,0.21,0.74,394
863493373,0.74,0.06,0.25,0.91,0.51,562
85479574,1,0.03,0.25,0.83,0.6,682
575000175,0.75,0.14,0.63,0.83,0.79,364
183260438,0.95,0.22,0.25,0.89,0.32,468
102251226,0.89,0.06,0.82,0.37,0.62,589
986871378,0.28,0.22,0.71,0.68,0.15,336
567366253,0.97,0.21,0.58,0.37,0.67,357
384842747,0.96,0.08,0.97,0.97,0.56,723
813734946,0.75,0.25,0.79,0.37,0.23,427
672640747,0.6,0.19,0.23,0.8,0.45,318
23965428,0.62,0.14,0.82,0.01,0.16,588
29339404,0.99,0.17,0.22,0.37,0.19,595
28538425,0.96,0.08,0.46,0.76,0.4,752
87974903,0.06,0,0.77,0.37,0.25,694
126307828,0.53,0.26,0.74,0.98,0.23,391
703709285,0.7,0.17,0.82,0.37,0.11,653
618471524,0.75,0.21,0.96,0.37,0.06,643
463995368,0.55,0.07,0.38,0.16,0.33,492
41138148,0.66,0.25,0.34,0.37,0.25,319
9607872,0.24,0,0.18,0.01,0.22,509
210593631,0.22,0.06,0.82,0.37,0.59,308
21032766,0.73,0.23,0.82,0.37,0.56,332
72479613,0.75,0.18,0.06,0.81,0.15,511
67625895,0.1,0.09,0.96,0.65,0.11,642
445048997,0.55,0.13,0.81,0.37,0.52,386
476677953,0.93,0,0.73,0.37,0.82,576
409247424,0.55,0.04,0.22,0.2,0.66,315
984711388,0.75,0.25,0.82,0.37,0.31,399
11852908,0.63,0.22,0.47,0.37,0.37,318
807780612,0.73,0.22,0.34,0.37,0.19,404
16430864,0.72,0.09,0.09,0.98,0.62,408
519875259,0.75,0.23,0.72,0.37,0.47,351
287528288,0.75,0.02,0.36,0.37,0.66,491
39587277,0.97,0.17,0.73,0.37,0.39,540
933242052,0.75,0.15,0.82,0.37,0.7,367
703137418,0.82,0.26,0.95,0.37,0.56,348
982451194,0.74,0.22,0.25,0.87,0.14,479
979681783,0.99,0.2,0.82,0.37,0.45,482
9306488,0.53,0.03,0.95,0.58,0.8,434
407585586,0.2,0.06,0.57,0.08,0.25,380
39403936,0.73,0.17,0.48,0.37,0.04,663
99226607,0.93,0.15,0.44,0.75,0.6,444
224019354,0.59,0.12,0.81,0.37,0.15,716
571705281,0.33,0.06,0.73,0.96,0.7,365
66893036,0.69,0.03,0.59,0.37,0.67,483
728244459,0.6,0.09,0.83,0.1,0.82,316
597555262,0.97,0.06,0.74,0.37,0.44,786
972172218,0.75,0.22,0.47,0.37,0.52,314
6395745,0.24,0.03,0.98,0.03,0.26,669
76301732,0.65,0.26,0.81,0.37,0.41,324
76336072,0.55,0.22,0.76,0.91,0.02,585
713774394,0.75,0.17,0.56,0.37,0.5,380
955226871,0.55,0.12,0.83,0.2,0.72,312
552222892,0.82,0.04,0.82,0.37,0.49,733
442834079,0.92,0.21,0.71,0.79,0.8,355
484106106,0.55,0.08,0.63,0.82,0.33,647
70105603,0.75,0.25,0.43,0.37,0.46,301
229986628,0.55,0.04,0.12,0.37,0.3,589
448378894,0.75,0.17,0.25,0.98,0.3,491
225671482,0.28,0.11,0.77,0.71,0.24,499
931082109,0.75,0.18,0.82,0.37,0.56,384
128923083,0.01,0.07,0.51,0.88,0.2,410
402802693,0.56,0.03,0.54,0.37,0.43,604
252235158,0.26,0.18,0.82,0.96,0.06,517
323162672,0.75,0.01,0.16,0.83,0.44,786
599138797,0.75,0.04,0.54,0.77,0.87,425
648603396,0.95,0.22,0.38,0.81,0.47,416
904663365,0.75,0.03,0.82,0.37,0.82,464
326360864,0.88,0.23,0.61,0.37,0.56,349
473238555,0.55,0.15,0.99,0.59,0.33,513
159414374,0.55,0.17,0.76,0.74,0.35,442
276987852,0.55,0.12,0.82,0.37,0.56,383
252770229,0.96,0.24,0.82,0.37,0.7,349
306097608,0.69,0.13,0.75,0.37,0.5,439
488060045,0.75,0.2,0.57,0.37,0.28,438
40428191,0.55,0.19,0.22,0.33,0.01,446
57584215,0.55,0.17,0.95,0.68,0.21,560
308440558,0.75,0.17,0.41,0.37,0.49,361
88524243,0.22,0.08,0.82,0.55,0.38,411
298155707,0.97,0.08,0.48,0.37,0.56,561
677062692,0.55,0.22,0.75,0.98,0.49,350
522266485,0.1,0.05,0.25,0.25,0.1,390
22151973,0.75,0.26,0.79,0.37,0.1,475
96580909,0.55,0.19,0.82,0.76,0.6,335
288426913,0.97,0.18,0.51,0.37,0.09,719
663434515,0.95,0.1,0.83,0.37,0.59,555
614418346,0.88,0.19,0.56,0.37,0.49,405
274163708,0.22,0.06,0.57,0.07,0.33,332
244754597,1,0.08,0.25,0.37,1,342
306315102,0.55,0.09,0.95,0.01,0.23,672
990791765,0.93,0.21,0.7,0.37,0.22,550
10376957,0.92,0.23,0.82,0.37,0.76,332
64764746,0.96,0.21,0.46,0.8,0.56,408
251888019,0.55,0.2,0.7,0.84,0.22,465
54213483,0.99,0.55,0.62,0.91,0.12,300
15909928,0.66,0.26,0.82,0.82,0.46,352
121829801,0.55,0.21,0.68,0.81,0.35,383
307514589,0.62,0.16,0.7,0.93,0.4,472
939131197,0.75,0.07,0.62,0.37,0.62,473
41818943,0.92,0.16,0.02,0.37,0.56,348
427619063,0.74,0.07,0.35,0.37,0.39,581
231192162,0.95,0.03,0.06,0.37,0.56,582
709332625,0.22,0.15,0.82,0.16,0.1,393
659012735,0.33,0.08,0.82,0.74,0.56,391
920001649,0.88,0.11,0.43,0.37,0.99,310
571678942,0.06,0.03,0.21,0.3,0.15,344
94597034,0.58,0.14,0.17,0.11,0.15,420
836262733,0.55,0.01,0.79,0.64,0.56,636
421819268,0.75,0.21,0.76,0.77,0.1,621
201509944,0.92,0.25,0.76,0.37,0.59,353
31197924,0.75,0.17,0.77,0.37,0.59,377
805567815,0.55,0.02,0.5,0.79,0.46,666
399005385,0.89,0.13,0.82,0.37,0.66,449
360374052,0.7,0.22,0.65,0.37,0.38,365
489687801,0.62,0.13,0.25,0.37,0.11,583
153279026,0.91,0.1,0.82,0.91,0.75,507
43433201,0.55,0.03,0.66,0.37,0.71,411
674697376,0.55,0.14,0.96,0.92,0.38,536
30252391,0.75,0.12,0.99,0.37,0.56,487
410692643,0.75,0.12,0.73,0.37,0.59,431
84147752,0.75,0.15,0.47,0.37,0.53,378
575729789,0.75,0.05,0.52,0.98,0.62,569
123869245,0.59,0.23,0.97,0.94,0.12,551
179582564,0.67,0.14,0.98,0.85,0.55,481
109894405,0.75,0.03,0.68,0.78,0.66,590
43639485,0.55,0.15,0.76,0.58,0.33,467
914388258,0.55,0.13,0.82,0.31,0.22,568
29379542,0.82,0.12,0.34,0.83,0.34,601
345837905,0.92,0.18,0.25,0.37,0.51,378
197446703,0.57,0.25,0.96,0.07,0.38,310
345914434,0.75,0.1,0.25,0.87,0.44,523
924713263,0.6,0.21,0.79,0.73,0.11,543
773740364,0.75,0.19,0.68,0.37,0.11,590
33172205,0.57,0.25,0.83,0.37,0.02,469
644889053,0.75,0.26,0.52,0.37,0.32,343
566879156,0.99,0.21,0.82,0.37,0.66,393
289887958,0.96,0.15,0.98,0.37,0.62,486
88631823,0.55,0.21,0.53,0.64,0.06,487
125656039,0.75,0.26,0.79,0.77,0.21,463
315709479,0.55,0.2,0.37,0.94,0.04,534
752553595,0.55,0.16,0.82,0.8,0.59,370
564522671,0.53,0.15,0.42,0.37,0.05,572
629987123,0.75,0.18,0.64,0.37,0.56,360
731985646,0.96,0.18,0.73,0.37,0.28,588
93678437,0.55,0.18,0.72,0.37,0.53,315
270542926,0.55,0.23,0.56,0.57,0.32,330
616268677,0.75,0.12,0.25,0.9,0.65,386
465416292,0.25,0.14,0.75,0.37,0.27,343
117402803,0.74,0.12,0.82,0.37,0.22,722
410714389,0.89,0.18,0.25,0.37,0.29,465
648886735,0.55,0.24,0.73,0.58,0.32,346
562406513,0.75,0.12,0.25,0.37,0.51,387
156937504,0.55,0.15,0.13,0.96,0.14,522
995405302,0.57,0.01,0.5,0.96,0.56,628
441513498,0.55,0.17,0.74,0.37,0.05,608
216570461,0.89,0.11,0.65,0.37,0.78,402
439681121,0.93,0.24,0.95,0.37,0.56,395
99180661,0.82,0.45,0.96,0.37,0.12,318
262586434,0.28,0.15,0.43,0.91,0.27,352
352294948,0.75,0.08,0.49,0.37,0.31,678
138854358,0.55,0.19,0.82,0.23,0.02,574
481206833,0.55,0.17,0.59,0.94,0.6,338
665570024,0.75,0.1,0.1,0.37,0.14,715
743440207,0.75,0.05,0.53,0.37,0.86,375
708168717,0.67,0.09,0.04,0.37,0.49,365
16424182,0.75,0.04,0.74,0.37,0.49,673
100562512,0.75,0.18,0.73,0.98,0.05,797
398594459,0.67,0.11,0.53,0.37,0.29,566
270517652,0.89,0.21,0.81,0.37,0.22,553
